Category,LLM_Score,Human_Score,Score_Difference
achievement,252.0,136.0,116.0
affection,79.0,49.0,30.0
aggression,151.0,97.0,54.0
air_travel,148.0,162.0,-14.0
alcohol,26.0,21.0,5.0
ancient,25.0,46.0,-21.0
anger,33.0,34.0,-1.0
animal,70.0,89.0,-19.0
anonymity,5.0,9.0,-4.0
anticipation,94.0,37.0,57.0
appearance,31.0,97.0,-66.0
art,90.0,54.0,36.0
attractive,25.0,68.0,-43.0
banking,285.0,344.0,-59.0
beach,131.0,235.0,-104.0
beauty,77.0,52.0,25.0
blue_collar_job,13.0,13.0,0.0
body,61.0,60.0,1.0
breaking,181.0,141.0,40.0
business,892.0,784.0,108.0
car,149.0,136.0,13.0
celebration,117.0,180.0,-63.0
cheerfulness,17.0,19.0,-2.0
childish,16.0,50.0,-34.0
children,86.0,144.0,-58.0
cleaning,85.0,140.0,-55.0
clothing,21.0,47.0,-26.0
cold,1342.0,819.0,523.0
college,268.0,226.0,42.0
communication,428.0,341.0,87.0
competing,206.0,99.0,107.0
computer,90.0,100.0,-10.0
confusion,66.0,88.0,-22.0
contentment,44.0,37.0,7.0
cooking,43.0,58.0,-15.0
crime,132.0,194.0,-62.0
dance,18.0,34.0,-16.0
death,132.0,81.0,51.0
deception,34.0,44.0,-10.0
disappointment,88.0,59.0,29.0
disgust,27.0,23.0,4.0
dispute,279.0,272.0,7.0
divine,32.0,42.0,-10.0
domestic_work,63.0,64.0,-1.0
dominant_heirarchical,207.0,157.0,50.0
dominant_personality,51.0,28.0,23.0
driving,134.0,173.0,-39.0
eating,48.0,70.0,-22.0
economics,806.0,722.0,84.0
emotional,61.0,70.0,-9.0
envy,33.0,16.0,17.0
exasperation,15.0,19.0,-4.0
exercise,29.0,44.0,-15.0
exotic,58.0,83.0,-25.0
fabric,23.0,45.0,-22.0
family,78.0,118.0,-40.0
farming,125.0,76.0,49.0
fashion,45.0,34.0,11.0
fear,127.0,70.0,57.0
feminine,4.0,17.0,-13.0
fight,248.0,146.0,102.0
fire,104.0,144.0,-40.0
friends,46.0,75.0,-29.0
fun,57.0,46.0,11.0
furniture,5.0,24.0,-19.0
gain,552.0,259.0,293.0
giving,453.0,360.0,93.0
government,732.0,662.0,70.0
hate,31.0,53.0,-22.0
healing,159.0,162.0,-3.0
health,113.0,106.0,7.0
hearing,103.0,127.0,-24.0
help,327.0,296.0,31.0
heroic,135.0,104.0,31.0
hiking,37.0,31.0,6.0
hipster,50.0,44.0,6.0
home,52.0,92.0,-40.0
horror,16.0,28.0,-12.0
hygiene,63.0,43.0,20.0
independence,156.0,139.0,17.0
injury,221.0,203.0,18.0
internet,110.0,161.0,-51.0
irritability,17.0,10.0,7.0
journalism,158.0,192.0,-34.0
joy,40.0,26.0,14.0
kill,98.0,73.0,25.0
law,327.0,352.0,-25.0
leader,288.0,262.0,26.0
legend,84.0,68.0,16.0
leisure,76.0,78.0,-2.0
liquid,25.0,95.0,-70.0
listen,101.0,92.0,9.0
love,145.0,87.0,58.0
lust,63.0,38.0,25.0
magic,82.0,53.0,29.0
masculine,26.0,45.0,-19.0
medical_emergency,104.0,98.0,6.0
medieval,23.0,11.0,12.0
meeting,293.0,318.0,-25.0
messaging,177.0,144.0,33.0
military,127.0,135.0,-8.0
money,793.0,898.0,-105.0
monster,12.0,17.0,-5.0
morning,59.0,51.0,8.0
movement,201.0,198.0,3.0
music,112.0,95.0,17.0
musical,91.0,70.0,21.0
negative_emotion,176.0,255.0,-79.0
neglect,64.0,47.0,17.0
